Category,Subcategory,Module,Item Code,Description,Brand,Model,Supplier,Qty,Unit,Unit Cost,Price Source,Reference Number,Price Date,Specification,Remark
01,Standard equipment,Customer-provided Keyence,LR-ZH500N,LASER SENSOR,Keyence,LR-ZH500N,,2,Set,0,Previous Estimate,20260121-001-1,2026-01-21,Original supplier: Keyence; Original lead time: Keyence,PJ260022; Source: 20260121-001-1_Estimate cost for HOWA - QR Reader Jig.xlsx; 002_STD!row 10; Summary row 9 | Customer Provide; quantity from summary; no purchase cost. | Customer Provide | Original supplier: Keyence
01,Standard equipment,Customer-provided Keyence,OP-88682,D-SUB CABLE 5M.,Keyence,OP-88682,,2,Set,0,Previous Estimate,20260121-001-1,2026-01-21,Original supplier: Keyence; Original lead time: Keyence,PJ260022; Source: 20260121-001-1_Estimate cost for HOWA - QR Reader Jig.xlsx; 002_STD!row 35; Summary row 10 | Customer Provide; quantity from summary; no purchase cost. | Customer Provide | Original supplier: Keyence
01,Standard equipment,Customer-provided Keyence,OP-87404,Bracket Sensor,Keyence,OP-87404,,2,Set,0,Previous Estimate,20260121-001-1,2026-01-21,Original supplier: Keyence; Original lead time: Keyence,PJ260022; Source: 20260121-001-1_Estimate cost for HOWA - QR Reader Jig.xlsx; 002_STD!row 58; Summary row 11 | Customer Provide; quantity from summary; no purchase cost. | Customer Provide | Original supplier: Keyence
03,Electrical material,Electrical - Control Box,KVC-36 3C 0.5MM2,Control Cable  (100m),Kuramo,KVC-36 3C 0.5MM2,Planet T&S,1.0,Lot,2520.0,Previous Estimate,20260121-001-1,2026-01-21,Original supplier: Planet T&S; Original lead time: 5 Day,"PJ260022; Source: 20260121-001-1_Estimate cost for HOWA - QR Reader Jig.xlsx; 003_COST_EE!row 10; Summary row 14 | Part of Control Box; replaces summary aggregate row14. | Original supplier: Planet T&S | Unit absent in original detail; Lot represents the original quoted quantity, no unit-price conversion."
03,Electrical material,Electrical - Control Box,CE-2,Close End Wire Connector,Bandex,CE-2,Piyapoj Electric,1.0,Lot,150.0,Previous Estimate,20260121-001-1,2026-01-21,Original supplier: Piyapoj Electric; Original lead time: 2 Day,"PJ260022; Source: 20260121-001-1_Estimate cost for HOWA - QR Reader Jig.xlsx; 003_COST_EE!row 11; Summary row 14 | Part of Control Box; replaces summary aggregate row14. | Original supplier: Piyapoj Electric | Unit absent in original detail; Lot represents the original quoted quantity, no unit-price conversion."
03,Electrical material,Electrical - Control Box,HFCC8PACK-B,Parts for Aluminium Frame (Series 8),Misumi,HFCC8PACK-B,Misumi,1.0,Lot,680.0,Previous Estimate,20260121-001-1,2026-01-21,Original supplier: Misumi; Original lead time: 2 Day,"PJ260022; Source: 20260121-001-1_Estimate cost for HOWA - QR Reader Jig.xlsx; 003_COST_EE!row 12; Summary row 14 | Part of Control Box; replaces summary aggregate row14. | Original supplier: Misumi | Unit absent in original detail; Lot represents the original quoted quantity, no unit-price conversion."
03,Electrical material,Electrical - Control Box,SW-10B,Spiral Wrapping Band (O.D =10) - Black,Bandex,SW-10B,Piyapoj Electric,2.0,Lot,150.0,Previous Estimate,20260121-001-1,2026-01-21,Original supplier: Piyapoj Electric; Original lead time: 2 Day,"PJ260022; Source: 20260121-001-1_Estimate cost for HOWA - QR Reader Jig.xlsx; 003_COST_EE!row 13; Summary row 14 | Part of Control Box; replaces summary aggregate row14. | Original supplier: Piyapoj Electric | Unit absent in original detail; Lot represents the original quoted quantity, no unit-price conversion."
03,Electrical material,Electrical - Control Box,PJ260022-008,Cable Ties,Bandex,,Piyapoj Electric,1.0,Lot,300.0,Previous Estimate,20260121-001-1,2026-01-21,Original supplier: Piyapoj Electric; Original lead time: 2 Day,"PJ260022; Source: 20260121-001-1_Estimate cost for HOWA - QR Reader Jig.xlsx; 003_COST_EE!row 14; Summary row 14 | Part of Control Box; replaces summary aggregate row14. | Original supplier: Piyapoj Electric | Unit absent in original detail; Lot represents the original quoted quantity, no unit-price conversion."
06,Electrical labor,Electrical labor,PJ260022-009,Drawing design,IoT Team,,,1.0,Man Day,5000.0,Previous Estimate,20260121-001-1,2026-01-21,Original supplier: TOMAS TECH; Original lead time: not stated,PJ260022; Source: 20260121-001-1_Estimate cost for HOWA - QR Reader Jig.xlsx; 001_Summary cost!row 19; Summary row 19 | Summary is authoritative; detail quantities differ for drawing and assembly. | Page 3/6 | Original supplier: TOMAS TECH | Original fixed labor estimate retained as cost item; do not add equivalent man-hour cost again.
06,Electrical labor,Electrical labor,PJ260022-010,Assembly + Wiring,IoT Team,,,1.0,Man Day,5000.0,Previous Estimate,20260121-001-1,2026-01-21,Original supplier: TOMAS TECH; Original lead time: not stated,PJ260022; Source: 20260121-001-1_Estimate cost for HOWA - QR Reader Jig.xlsx; 001_Summary cost!row 20; Summary row 20 | Summary is authoritative; detail quantities differ for drawing and assembly. | Page 3/6 | Original supplier: TOMAS TECH | Original fixed labor estimate retained as cost item; do not add equivalent man-hour cost again.
06,Electrical labor,Electrical labor,PJ260022-011,Installation and AutoID Configuration,IoT Team,,,1.0,Man Day,5000.0,Previous Estimate,20260121-001-1,2026-01-21,Original supplier: TOMAS TECH; Original lead time: not stated,PJ260022; Source: 20260121-001-1_Estimate cost for HOWA - QR Reader Jig.xlsx; 001_Summary cost!row 21; Summary row 21 | Summary is authoritative; detail quantities differ for drawing and assembly. | Page 3/6 | Original supplier: TOMAS TECH | Original fixed labor estimate retained as cost item; do not add equivalent man-hour cost again.
04,Mechanical material,Mechanical - Sensor Jig Stand x2,NEFS8-4040-1600,8 Series Aluminum Frame - Square 40x40mm,Misumi,NEFS8-4040-1600,Misumi,2.0,Pcs,580.0,Previous Estimate,20260121-001-1,2026-01-21,Original supplier: Misumi; Original lead time: not stated,PJ260022; Source: 20260121-001-1_Estimate cost for HOWA - QR Reader Jig.xlsx; 004_COST_ME!row 11; Summary row 24 | BOM per jig multiplied by two jigs from summary K24; replaces summary aggregate row24. | Original supplier: Misumi
04,Mechanical material,Mechanical - Sensor Jig Stand x2,NEFS8-4040-800,8 Series Aluminum Frame - Square 40x40mm,Misumi,NEFS8-4040-800,Misumi,2.0,Pcs,300.0,Previous Estimate,20260121-001-1,2026-01-21,Original supplier: Misumi; Original lead time: not stated,PJ260022; Source: 20260121-001-1_Estimate cost for HOWA - QR Reader Jig.xlsx; 004_COST_ME!row 12; Summary row 24 | BOM per jig multiplied by two jigs from summary K24; replaces summary aggregate row24. | Original supplier: Misumi
04,Mechanical material,Mechanical - Sensor Jig Stand x2,NEFS8-4040-350,8 Series Aluminum Frame - Square 40x40mm,Misumi,NEFS8-4040-350,Misumi,2.0,Pcs,150.0,Previous Estimate,20260121-001-1,2026-01-21,Original supplier: Misumi; Original lead time: not stated,PJ260022; Source: 20260121-001-1_Estimate cost for HOWA - QR Reader Jig.xlsx; 004_COST_ME!row 13; Summary row 24 | BOM per jig multiplied by two jigs from summary K24; replaces summary aggregate row24. | Original supplier: Misumi
04,Mechanical material,Mechanical - Sensor Jig Stand x2,NEFS8-4040-500-LAT45-RAT45,8 Series Aluminum Frame - Square 40x40mm,Misumi,NEFS8-4040-500-LAT45-RAT45,Misumi,2.0,Pcs,550.0,Previous Estimate,20260121-001-1,2026-01-21,Original supplier: Misumi; Original lead time: not stated,PJ260022; Source: 20260121-001-1_Estimate cost for HOWA - QR Reader Jig.xlsx; 004_COST_ME!row 14; Summary row 24 | BOM per jig multiplied by two jigs from summary K24; replaces summary aggregate row24. | Original supplier: Misumi
04,Mechanical material,Mechanical - Sensor Jig Stand x2,HBLFSNF8,Aluminum Frame Bracket,Misumi,HBLFSNF8,Misumi,8.0,Pcs,30.0,Previous Estimate,20260121-001-1,2026-01-21,Original supplier: Misumi; Original lead time: not stated,PJ260022; Source: 20260121-001-1_Estimate cost for HOWA - QR Reader Jig.xlsx; 004_COST_ME!row 15; Summary row 24 | BOM per jig multiplied by two jigs from summary K24; replaces summary aggregate row24. | Original supplier: Misumi
04,Mechanical material,Mechanical - Sensor Jig Stand x2,SL-HBL45TS8,Aluminum Frame Bracket,Misumi,SL-HBL45TS8,Misumi,4.0,Pcs,205.0,Previous Estimate,20260121-001-1,2026-01-21,Original supplier: Misumi; Original lead time: not stated,PJ260022; Source: 20260121-001-1_Estimate cost for HOWA - QR Reader Jig.xlsx; 004_COST_ME!row 16; Summary row 24 | BOM per jig multiplied by two jigs from summary K24; replaces summary aggregate row24. | Original supplier: Misumi
