All|ทั้งหมด|すべて
No customer found|ไม่พบลูกค้า|顧客が見つかりません
Customer code|รหัสลูกค้า|顧客コード
Select project|เลือกโครงการ|プロジェクトを選択
Inventory valuation|มูลค่าสินค้าคงคลัง|在庫評価
Avg. cost|ต้นทุนเฉลี่ย|平均原価
Total value|มูลค่ารวม|合計金額
No inventory value|ไม่มีมูลค่าสินค้าคงคลัง|在庫評価データなし
Fill rate|อัตราจัดส่งครบ|充足率
Defect|ข้อบกพร่อง|不良
On time|ตรงเวลา|期限内
Lead days|ระยะเวลานำ (วัน)|リードタイム（日）
No supplier activity|ไม่มีรายการของผู้ขาย|仕入先の取引なし
Approval stage duration|ระยะเวลาแต่ละขั้นอนุมัติ|承認段階の所要時間
Stage|ขั้นตอน|段階
Minimum|ต่ำสุด|最小
Maximum|สูงสุด|最大
No completed stages|ยังไม่มีขั้นตอนที่เสร็จ|完了した段階なし
PR status|สถานะใบขอซื้อ|購買依頼の状態
Select a project|เลือกโครงการ|プロジェクトを選択
Procurement exposure|ภาระจัดซื้อ|購買負担
Procurement ledger|บัญชีจัดซื้อ|購買台帳
Accounting scope|ขอบเขตทางบัญชี|会計範囲
COST MASTER|ข้อมูลต้นทุนกลาง|原価マスター
New Rate|เพิ่มอัตรา|単価を追加
Enabled records only|แสดงเฉพาะรายการที่เปิดใช้|有効な項目のみ
Engineering / hour|วิศวกรรม / ชั่วโมง|設計／時間
Engineering / day|วิศวกรรม / วัน|設計／日
Installation / hour|ติดตั้ง / ชั่วโมง|設置／時間
Installation / day|ติดตั้ง / วัน|設置／日
No engineering rates|ยังไม่มีอัตราค่าวิศวกรรม|技術単価なし
New engineering rate|เพิ่มอัตราค่าวิศวกรรม|技術単価を追加
Engineering hourly|ค่าวิศวกรรมต่อชั่วโมง|設計時間単価
Engineering daily|ค่าวิศวกรรมต่อวัน|設計日単価
Installation hourly|ค่าติดตั้งต่อชั่วโมง|設置時間単価
Installation daily|ค่าติดตั้งต่อวัน|設置日単価
Effective from|มีผลตั้งแต่|適用開始日
Effective to|มีผลถึง|適用終了日
IMMUTABLE LEDGER|ประวัติที่แก้ไขย้อนหลังไม่ได้|変更不可の履歴
Append only|บันทึกเพิ่มเท่านั้น|追記のみ
Entity|ประเภทข้อมูล|対象種別
Occurred|เกิดขึ้นเมื่อ|発生日時
Actor|ผู้ดำเนินการ|実行者
Project / Qty|โครงการ / จำนวน|プロジェクト／数量
Project #|เลขโครงการ|プロジェクト番号
View JSON|ดูข้อมูล JSON|JSONを表示
Before|ก่อนแก้ไข|変更前
After|หลังแก้ไข|変更後
RUNTIME STATUS|สถานะระบบ|システム状態
Signed-in identity|บัญชีที่เข้าสู่ระบบ|ログイン中のユーザー
Database user ID|รหัสผู้ใช้ฐานข้อมูล|データベースユーザーID
Live connections|การเชื่อมต่อปัจจุบัน|現在の接続
API origin|ที่อยู่ API|API接続先
Configured|ตั้งค่าแล้ว|設定済み
Business timezone|เขตเวลาทำการ|業務タイムゾーン
Authentication|การยืนยันตัวตน|認証
Configuration ownership|ผู้ดูแลการตั้งค่า|設定の管理者
Sign|ลงนาม|署名
Approval|การอนุมัติ|承認
PR|ใบขอซื้อ|購買依頼
PO|ใบสั่งซื้อ|発注書
No inquiry found|ไม่พบ Inquiry|引合が見つかりません
New production inquiry|สร้าง Inquiry|引合を作成
Low|ต่ำ|低
Normal|ปกติ|通常
High|สูง|高
Urgent|เร่งด่วน|緊急
A — Hot|A — สนใจมาก|A — 高関心
B — Warm|B — สนใจ|B — 関心あり
C — Nurture|C — ติดตามต่อ|C — 継続フォロー
D — Low|D — สนใจน้อย|D — 低関心
Create from inquiry|สร้างจาก Inquiry|引合から作成
Customer / Project|ลูกค้า / โครงการ|顧客／プロジェクト
Workflow|ขั้นตอนงาน|ワークフロー
Costs|ต้นทุน|原価
Revise|แก้ไขฉบับใหม่|改訂
No estimate found|ไม่พบประมาณการ|見積が見つかりません
Add cost item|เพิ่มรายการต้นทุน|原価項目を追加
New cost item|รายการต้นทุนใหม่|新規原価項目
Unit cost (THB)|ต้นทุนต่อหน่วย (บาท)|単価（THB）
Previous Project|โครงการก่อนหน้า|過去のプロジェクト
Budgetary|ราคาเบื้องต้น|概算価格
Reference no.|เลขอ้างอิง|参照番号
No cost item in this revision|ไม่มีรายการต้นทุนในฉบับนี้|この改訂に原価項目はありません
Loading cost workspace…|กำลังโหลดรายละเอียดต้นทุน…|原価情報を読み込み中…
Create estimate from inquiry|สร้างประมาณการจาก Inquiry|引合から見積を作成
Contingency (%)|เงินสำรองเผื่อ (%)|予備費（%）
APPROVED WORK|งานที่อนุมัติแล้ว|承認済みの業務
No project found|ไม่พบโครงการ|プロジェクトが見つかりません
Project folder|โฟลเดอร์โครงการ|プロジェクトフォルダー
File * · Maximum 50 MiB|ไฟล์ * · ไม่เกิน 50 MiB|ファイル * · 最大50 MiB
Uploaded|อัปโหลดแล้ว|アップロード済み
No document uploaded|ยังไม่มีเอกสาร|文書は未登録です
Create production project|สร้างโครงการ|プロジェクトを作成
Select approved estimate|เลือกประมาณการที่อนุมัติแล้ว|承認済み見積を選択
Customer PO number|เลขใบสั่งซื้อของลูกค้า|顧客発注番号
PO date|วันที่ใบสั่งซื้อ|発注日
MATERIAL CONTROL|การควบคุมวัสดุ|資材管理
Reorder only|เฉพาะรายการต้องสั่งเพิ่ม|補充が必要な項目のみ
Part no.|รหัสชิ้นส่วน|部品番号
Reorder|สั่งเพิ่ม|補充
OK|ปกติ|正常
No inventory item found|ไม่พบสินค้าในคลัง|在庫品が見つかりません
CONTROLLED MASTER RECORDS|ข้อมูลกลางที่ควบคุม|管理対象マスター
Add supplier|เพิ่มผู้ขาย|仕入先を追加
Supplier name|ชื่อผู้ขาย|仕入先名
No supplier found|ไม่พบผู้ขาย|仕入先が見つかりません
Supplier code|รหัสผู้ขาย|仕入先コード
Brands|ยี่ห้อ|ブランド
Add inventory item|เพิ่มสินค้าในคลัง|在庫品を追加
Inventory item rules|กติกาข้อมูลสินค้า|在庫品のルール
Stable item code|รหัสสินค้าคงที่|固定の品目コード
Opening balance is separate|ยอดยกมาบันทึกแยกต่างหาก|期首残高は別途登録
active suppliers|ผู้ขายที่ใช้งานอยู่|有効な仕入先
No preferred supplier|ยังไม่มีผู้ขายหลัก|優先仕入先なし
Reorder level|จุดสั่งซื้อเพิ่ม|発注点
Average unit cost (THB)|ต้นทุนเฉลี่ยต่อหน่วย (บาท)|平均単価（THB）
Lead time (days)|ระยะเวลานำ (วัน)|リードタイム（日）
Departments|แผนก|部署
No active team member|ไม่มีสมาชิกที่ใช้งานอยู่|有効なメンバーなし
ACCESS CONTROL|การควบคุมสิทธิ์|アクセス管理
Supplier #|รหัสผู้ขาย|仕入先番号
(inactive)|(ปิดใช้งาน)|(無効)
No estimate matches the filters|ไม่พบประมาณการตามตัวกรอง|条件に一致する見積なし
Loading inquiries…|กำลังโหลด Inquiry…|引合を読み込み中…
Registered inquiry|Inquiry ที่ลงทะเบียนแล้ว|登録済み引合
Today through five years|ตั้งแต่วันนี้ถึงอีกห้าปี|本日から5年後まで
Contingency %|เงินสำรองเผื่อ %|予備費 %
No inquiry available|ไม่มี Inquiry ให้เลือก|選択できる引合なし
Loading estimate workspace…|กำลังโหลดประมาณการ…|見積を読み込み中…
critical validation issue(s)|ข้อผิดพลาดที่ต้องแก้|要修正の問題
Open validation|เปิดผลตรวจสอบ|検証結果を開く
advisory warning(s)|ข้อควรตรวจสอบ|確認事項
Notifications|การแจ้งเตือน|通知
unread notifications|รายการที่ยังไม่ได้อ่าน|件の未読通知
Mark all as read|อ่านทั้งหมด|すべて既読にする
No new notifications|ยังไม่มีรายการใหม่|新しい通知はありません
Discard unsaved report changes?|ออกโดยไม่บันทึกการแก้ไขรายงานหรือไม่?|レポートの未保存の変更を破棄しますか？
On order|อยู่ระหว่างสั่งซื้อ|発注中
Date / Time|วันที่ / เวลา|日時
No attachment yet|ยังไม่มีไฟล์แนบ|添付ファイルなし
Upload an inquiry document|อัปโหลดเอกสาร Inquiry|引合の文書をアップロード
