1|คำขอหมดเวลา การบันทึกอาจเสร็จแล้ว ปิดหน้าต่างและรีเฟรชก่อนลองอีกครั้ง|要求がタイムアウトしました。保存済みの可能性があります。閉じて更新してから再試行してください。
2|ข้อมูลไม่ครบ กรุณารีเฟรชแผนทรัพยากร|結果が不完全です。リソース計画を更新してください。
3|อ่านรายละเอียดการมอบหมายไม่ได้ จึงแสดงผู้รับผิดชอบ Estimate|割当詳細を取得できないため、見積担当者を表示します。
4|ไม่สามารถอ่านตารางงาน|工程を取得できません
5|ภาระงานสูงสุด|最大負荷
6|คน-วัน (ส่วนของบุคคล)|人日（個人配分）
7|ยังไม่วางแผน|未計画
8|ไม่มีสิทธิ์เข้าถึง|アクセスが拒否されました
13|ข้อมูลที่แสดงอาจไม่เป็นปัจจุบัน รีเฟรชก่อนวางแผน|表示データが古い可能性があります。計画前に更新してください。
16|ภายในช่วงเวลาที่เลือก|選択した期間内
24|กำลังทำงานใช้จำนวนวันต่อสัปดาห์ที่บันทึกไว้ จันทร์–ศุกร์ หักวันหยุดบริษัท แต่ยังไม่หักวันลาส่วนตัว|稼働能力は登録済みの週稼働日数（月～金）から会社休日を除いて計算します。個人休暇は控除しません。
25|Effort และกำลังทำงานที่ยังไม่วางแผนแสดงเป็น — ไม่ใช่ศูนย์|未計画の工数・稼働能力は0ではなく「—」で表示します。
26|ไม่รวมแผนที่ไม่ครบในยอดรวม ค่าใช้งานจึงเป็นค่าขั้นต่ำจนกว่าจะระบุ Effort ครบ|不完全な計画は合計に含みません。工数が揃うまで稼働率は下限値です。
27|Effort ของ Estimate แบ่งเท่ากันระหว่างผู้รับผิดชอบและผู้ช่วย ส่วน Project แบ่งตามผู้รับผิดชอบงาน|見積工数は担当者・支援者で均等に配分し、プロジェクト工数は作業担当者に配分します。
29|ไม่พบพนักงานที่ตรงตัวกรอง|条件に一致するメンバーがいません
30|ล้างตัวกรองแผนกหรือคำค้นหาเพื่อดูทีมอีกครั้ง|部門や検索条件を解除するとチームを表示できます。
31|แต่ละแถบคืองานที่รับผิดชอบ ส่วนที่แรเงาคือความคืบหน้า|各バーは1つの担当業務を表し、網掛け部分が進捗です
34|ไม่มีงานที่จัดตารางในช่วงนี้|この期間に予定された業務はありません
35|ภาระงานรายสัปดาห์|週別負荷
36|คน-วันที่วางแผน / คน-วันที่พร้อมทำงาน · เขียวต่ำกว่า 85% เหลืองไม่เกิน 100% แดงเกินกำลัง|計画人日／利用可能人日・緑は85%未満、黄は100%以下、赤は超過
39|ภาระงานวิศวกร|技術者の負荷
42|ต้องตัดสินใจ|判断が必要
44|กำหนดกำลังทำงานรายสัปดาห์|週の稼働能力を設定
45|ภาระงานแยกตามแผนก|部門別負荷
47|เปิดรายการต้นทางเพื่อเปลี่ยนผู้รับผิดชอบหรือวันที่โครงการ วางแผน Effort ก่อนขายที่นี่|担当者やプロジェクト日付は元の記録で変更し、販売前の工数はここで計画します。
49|วางแผน Effort|工数を計画
50|Effort รวมสำหรับทำ Estimate ไม่ใช่ส่งมอบโครงการ แบ่งเท่ากันระหว่างผู้รับมอบหมาย Estimate|見積作成の総工数です。プロジェクト実行工数ではありません。見積担当者で均等配分します。
51|วันทำงานต่อสัปดาห์ (จันทร์–ศุกร์)|週の稼働日数（月～金）
52|กรุณาเลือก Inquiry|引合を選択してください。
54|รายงานโดย|報告者
57|ค่าใช้จ่ายอื่น|その他原価
58|เกิดข้อผิดพลาดที่ไม่คาดคิด|予期しないエラー
59|ไม่มีสิทธิ์เข้าถึง|アクセス権がありません
60|บัญชีนี้ไม่มีสิทธิ์อ่านคลัง Master Template|このアカウントにはマスタテンプレートの閲覧権限がありません|This account cannot read the master template library
63|โหลดเทมเพลตไม่สำเร็จ|テンプレートを読み込めません|Unable to load templates
64|ลองโหลดข้อมูลอีกครั้ง|データを再読み込みしてください|Try loading the data again
65|วันที่ราคาเก่าสุด|最も古い価格日
66|ผู้สร้าง|作成者|Created by
67|เปิดรายละเอียด|詳細を開く|Open details
68|ต่อ 1 ชุด|1セットあたり|per set
69|ไม่พบเทมเพลตที่ตรงกัน|一致するテンプレートがありません|No matching template
70|ลองเปลี่ยนคำค้นหา หรือเลือก discipline และสถานะอื่น|検索語・分野・状態を変更してください|Try another search, discipline or status
71|ยังไม่มีเทมเพลต|テンプレートはまだありません|No templates yet
72|กดสร้าง Template เพื่อเพิ่มชุดแรก หรือเปิดใบเสนอราคาแล้วกด Save as template ในแท็บ Cost Items|テンプレート作成で最初のセットを追加するか、見積書の原価明細タブからテンプレートとして保存してください|Create the first template, or open a quotation and choose Save as template in Cost Items
73|คัดลอกเป็นชุดใหม่|新しいセットに複製|Duplicate as a new set
75|แก้ไขชุดและรายการ|セットと明細を編集|Edit set and items
77|เลิกใช้งานชุดนี้? ทีมจะเลือกใช้ใน Estimate ใหม่ไม่ได้ แต่ใบเดิมยังคงรายการไว้|このセットを廃止しますか？新しい見積では選択できなくなりますが、既存の見積の明細は保持されます|Retire this set? It will be unavailable for new estimates; existing estimates retain their items
79|ยืนยันเลิกใช้งาน|廃止を確定|Confirm retirement
81|/ 1 ชุด|／1セット|/ set
82|มีรายการที่ไม่ระบุวันที่ราคา หรือราคาเกิน 180 วัน ควรตรวจสอบราคาก่อนใช้ใน Estimate|価格日未指定または180日超の明細があります。見積に使う前に価格を確認してください|Some price dates are missing or over 180 days old. Check prices before use
88|แก้ไข Template|テンプレートを編集|Edit template
89|คัดลอกเป็น Template ใหม่|新しいテンプレートに複製|Duplicate as new template
90|สร้าง Template ใหม่|新しいテンプレートを作成|Create new template
91|กำหนดรายการต่อ 1 ชุด • ตอนใช้ใน Estimate เลือกจำนวนชุดได้|1セットあたりの明細を設定・見積で使用する際にセット数を選択できます|Define items per set · Choose the number of sets when using it in an estimate
92|รายการ ·|件・|items ·
93|/ ชุด|／セット|/ set
94|บันทึกพร้อมใช้งาน|使用可能として保存|Save as ready to use
95|มีข้อมูลที่ยังไม่บันทึก ต้องการปิดฟอร์มหรือไม่?|未保存のデータがあります。フォームを閉じますか？|You have unsaved changes. Close the form?
96|แก้ไขต่อ|編集を続ける|Continue editing
97|ไม่บันทึกและปิด|保存せずに閉じる|Discard and close
98|ตรวจสอบจำนวนและราคา: จำนวนต้องมากกว่า 0 ราคาไม่ติดลบ และทศนิยมไม่เกิน 4 ตำแหน่ง รวมทั้งยอดรายการต้องไม่เกินขีดจำกัดของ Estimate|数量は0より大きく、価格は0以上、小数点以下4桁までにしてください。明細合計は見積の上限内にしてください|Check quantity and price: quantity must be positive, price nonnegative, at most 4 decimal places, and line totals within estimate limits
99|รหัส Template ต้องเริ่มด้วย A–Z หรือ 0–9 และใช้ได้เฉพาะ A–Z, 0–9, . _ / -|テンプレートコードは英数字で始め、A–Z・0–9・. _ / - のみ使用できます|Template codes must begin with A–Z or 0–9 and use only A–Z, 0–9, . _ / -
100|กรุณากรอกชื่อ Template, รหัสรายการ, รายละเอียด และหน่วยให้ครบ|テンプレート名・品目コード・説明・単位を入力してください|Complete the template name, item code, description and unit
